MoveEvent(x=819, y=345, time=1719664951.8538578)
MoveEvent(x=820, y=345, time=1719664951.8623667)
MoveEvent(x=821, y=345, time=1719664951.8728726)
MoveEvent(x=822, y=345, time=1719664951.8728726)
MoveEvent(x=824, y=345, time=1719664951.876905)
MoveEvent(x=825, y=345, time=1719664951.8852448)
MoveEvent(x=825, y=345, time=1719664951.8897915)
MoveEvent(x=826, y=345, time=1719664951.8965914)
MoveEvent(x=827, y=345, time=1719664951.9020133)
MoveEvent(x=828, y=345, time=1719664951.9048047)
MoveEvent(x=828, y=344, time=1719664951.906828)
MoveEvent(x=829, y=344, time=1719664951.9095483)
MoveEvent(x=830, y=344, time=1719664951.9150393)
MoveEvent(x=830, y=343, time=1719664951.9150393)
MoveEvent(x=831, y=343, time=1719664951.9185822)
MoveEvent(x=833, y=343, time=1719664951.9185822)
MoveEvent(x=834, y=341, time=1719664951.9225924)
MoveEvent(x=835, y=341, time=1719664951.9249794)
MoveEvent(x=836, y=341, time=1719664951.9266615)
MoveEvent(x=837, y=340, time=1719664951.9266615)
MoveEvent(x=838, y=340, time=1719664951.9296606)
MoveEvent(x=839, y=340, time=1719664951.9296606)
MoveEvent(x=839, y=339, time=1719664951.9311106)
MoveEvent(x=841, y=339, time=1719664951.9311106)
MoveEvent(x=842, y=339, time=1719664951.9334476)
MoveEvent(x=843, y=338, time=1719664951.9345093)
MoveEvent(x=844, y=338, time=1719664951.9355261)
MoveEvent(x=845, y=338, time=1719664951.9355261)
MoveEvent(x=846, y=337, time=1719664951.937927)
MoveEvent(x=847, y=337, time=1719664951.937927)
MoveEvent(x=849, y=337, time=1719664951.938972)
MoveEvent(x=850, y=336, time=1719664951.9399831)
MoveEvent(x=852, y=336, time=1719664951.9399831)
MoveEvent(x=853, y=336, time=1719664951.9423523)
MoveEvent(x=854, y=336, time=1719664951.9423523)
MoveEvent(x=856, y=336, time=1719664951.944359)
MoveEvent(x=857, y=335, time=1719664951.944359)
MoveEvent(x=859, y=335, time=1719664951.946958)
MoveEvent(x=860, y=333, time=1719664951.946958)
MoveEvent(x=861, y=332, time=1719664951.948475)
MoveEvent(x=864, y=332, time=1719664951.948475)
MoveEvent(x=865, y=332, time=1719664951.948475)
MoveEvent(x=867, y=331, time=1719664951.951057)
MoveEvent(x=869, y=331, time=1719664951.9525647)
MoveEvent(x=870, y=331, time=1719664951.9525647)
MoveEvent(x=872, y=331, time=1719664951.9540172)
MoveEvent(x=873, y=331, time=1719664951.955176)
MoveEvent(x=874, y=331, time=1719664951.9566858)
MoveEvent(x=877, y=331, time=1719664951.9566858)
MoveEvent(x=878, y=331, time=1719664951.9584076)
MoveEvent(x=879, y=331, time=1719664951.9584076)
MoveEvent(x=881, y=331, time=1719664951.9584076)
MoveEvent(x=883, y=331, time=1719664951.9611554)
MoveEvent(x=884, y=330, time=1719664951.9626784)
MoveEvent(x=885, y=330, time=1719664951.9637578)
MoveEvent(x=886, y=330, time=1719664951.9637578)
MoveEvent(x=887, y=330, time=1719664951.965519)
MoveEvent(x=888, y=330, time=1719664951.965519)
MoveEvent(x=889, y=330, time=1719664951.9675741)
MoveEvent(x=891, y=330, time=1719664951.9686034)
MoveEvent(x=892, y=330, time=1719664951.9696424)
MoveEvent(x=893, y=330, time=1719664951.9696424)
MoveEvent(x=894, y=330, time=1719664951.9711263)
MoveEvent(x=895, y=330, time=1719664951.9741416)
MoveEvent(x=896, y=330, time=1719664951.9741416)
MoveEvent(x=897, y=330, time=1719664951.976518)
MoveEvent(x=897, y=330, time=1719664951.9785361)
MoveEvent(x=899, y=330, time=1719664951.9795465)
MoveEvent(x=899, y=331, time=1719664951.9795465)
MoveEvent(x=900, y=331, time=1719664951.9795465)
MoveEvent(x=901, y=332, time=1719664951.9826317)
MoveEvent(x=902, y=334, time=1719664951.9845731)
MoveEvent(x=903, y=334, time=1719664951.9871304)
MoveEvent(x=903, y=335, time=1719664951.9871304)
MoveEvent(x=904, y=335, time=1719664951.9871304)
MoveEvent(x=904, y=336, time=1719664951.991144)
MoveEvent(x=905, y=336, time=1719664951.991144)
MoveEvent(x=907, y=337, time=1719664951.991144)
MoveEvent(x=907, y=338, time=1719664951.9942482)
MoveEvent(x=908, y=339, time=1719664951.9966493)
MoveEvent(x=909, y=340, time=1719664951.9966493)
MoveEvent(x=910, y=343, time=1719664951.9966493)
MoveEvent(x=911, y=343, time=1719664952.0000658)
MoveEvent(x=911, y=344, time=1719664952.0000658)
MoveEvent(x=911, y=345, time=1719664952.0020921)
MoveEvent(x=912, y=346, time=1719664952.0020921)
MoveEvent(x=914, y=349, time=1719664952.0044625)
MoveEvent(x=915, y=349, time=1719664952.004968)
MoveEvent(x=916, y=350, time=1719664952.006019)
MoveEvent(x=916, y=352, time=1719664952.0079658)
MoveEvent(x=917, y=355, time=1719664952.0079658)
MoveEvent(x=918, y=356, time=1719664952.009335)
MoveEvent(x=920, y=359, time=1719664952.0107248)
MoveEvent(x=921, y=360, time=1719664952.0107248)
MoveEvent(x=922, y=362, time=1719664952.012325)
MoveEvent(x=922, y=365, time=1719664952.0141208)
MoveEvent(x=923, y=366, time=1719664952.0141208)
MoveEvent(x=924, y=369, time=1719664952.0153468)
MoveEvent(x=926, y=371, time=1719664952.016479)
MoveEvent(x=926, y=374, time=1719664952.0175726)
MoveEvent(x=927, y=377, time=1719664952.0186377)
MoveEvent(x=928, y=379, time=1719664952.0186377)
MoveEvent(x=930, y=382, time=1719664952.0206492)
MoveEvent(x=930, y=385, time=1719664952.0216584)
MoveEvent(x=931, y=387, time=1719664952.0216584)
MoveEvent(x=933, y=390, time=1719664952.0237184)
MoveEvent(x=933, y=394, time=1719664952.0237184)
MoveEvent(x=934, y=399, time=1719664952.0251334)
MoveEvent(x=935, y=400, time=1719664952.0251334)
MoveEvent(x=937, y=405, time=1719664952.0273407)
MoveEvent(x=937, y=406, time=1719664952.0273407)
MoveEvent(x=938, y=409, time=1719664952.0296059)
MoveEvent(x=939, y=412, time=1719664952.0308146)
MoveEvent(x=941, y=416, time=1719664952.0308146)
MoveEvent(x=942, y=419, time=1719664952.0308146)
MoveEvent(x=943, y=421, time=1719664952.033715)
MoveEvent(x=943, y=426, time=1719664952.0347242)
MoveEvent(x=945, y=428, time=1719664952.0347242)
MoveEvent(x=948, y=431, time=1719664952.0361774)
MoveEvent(x=949, y=434, time=1719664952.0373669)
MoveEvent(x=950, y=437, time=1719664952.038478)
MoveEvent(x=952, y=441, time=1719664952.038478)
MoveEvent(x=953, y=442, time=1719664952.040234)
MoveEvent(x=956, y=446, time=1719664952.0417423)
MoveEvent(x=957, y=447, time=1719664952.0417423)
MoveEvent(x=958, y=451, time=1719664952.0417423)
MoveEvent(x=959, y=454, time=1719664952.0441947)
MoveEvent(x=961, y=458, time=1719664952.0441947)
MoveEvent(x=964, y=461, time=1719664952.0462372)
MoveEvent(x=965, y=464, time=1719664952.0462372)
MoveEvent(x=966, y=467, time=1719664952.048418)
MoveEvent(x=971, y=471, time=1719664952.048418)
MoveEvent(x=972, y=472, time=1719664952.050434)
MoveEvent(x=975, y=476, time=1719664952.050434)
MoveEvent(x=976, y=478, time=1719664952.050434)
MoveEvent(x=979, y=482, time=1719664952.050434)
MoveEvent(x=980, y=484, time=1719664952.054484)
MoveEvent(x=983, y=487, time=1719664952.054484)
MoveEvent(x=983, y=490, time=1719664952.0565546)
MoveEvent(x=986, y=492, time=1719664952.0565546)
MoveEvent(x=987, y=495, time=1719664952.0585606)
MoveEvent(x=990, y=498, time=1719664952.0585606)
MoveEvent(x=990, y=499, time=1719664952.0600936)
MoveEvent(x=991, y=502, time=1719664952.0600936)
MoveEvent(x=994, y=505, time=1719664952.0626025)
MoveEvent(x=994, y=507, time=1719664952.0626025)
MoveEvent(x=997, y=508, time=1719664952.0626025)
MoveEvent(x=999, y=511, time=1719664952.0626025)
MoveEvent(x=1001, y=514, time=1719664952.06662)
MoveEvent(x=1001, y=515, time=1719664952.06662)
MoveEvent(x=1003, y=518, time=1719664952.06662)
MoveEvent(x=1005, y=520, time=1719664952.06662)
MoveEvent(x=1008, y=522, time=1719664952.0706222)
MoveEvent(x=1009, y=525, time=1719664952.0706222)
MoveEvent(x=1010, y=526, time=1719664952.0706222)
MoveEvent(x=1011, y=527, time=1719664952.0706222)
MoveEvent(x=1014, y=529, time=1719664952.0746195)
MoveEvent(x=1015, y=531, time=1719664952.0746195)
MoveEvent(x=1015, y=532, time=1719664952.0746195)
MoveEvent(x=1017, y=534, time=1719664952.0746195)
MoveEvent(x=1019, y=535, time=1719664952.0786185)
MoveEvent(x=1019, y=537, time=1719664952.0786185)
MoveEvent(x=1020, y=539, time=1719664952.0786185)
MoveEvent(x=1021, y=540, time=1719664952.0786185)
MoveEvent(x=1022, y=541, time=1719664952.0826187)
MoveEvent(x=1023, y=542, time=1719664952.0826187)
MoveEvent(x=1026, y=544, time=1719664952.0826187)
MoveEvent(x=1026, y=545, time=1719664952.0826187)
MoveEvent(x=1038, y=557, time=1719664952.0946147)
MoveEvent(x=1039, y=558, time=1719664952.0946147)
MoveEvent(x=1042, y=560, time=1719664952.0946147)
MoveEvent(x=1042, y=562, time=1719664952.0946147)
MoveEvent(x=1044, y=564, time=1719664952.0946147)
MoveEvent(x=1046, y=565, time=1719664952.0986826)
MoveEvent(x=1047, y=567, time=1719664952.0986826)
MoveEvent(x=1050, y=569, time=1719664952.0986826)
MoveEvent(x=1051, y=570, time=1719664952.0986826)
MoveEvent(x=1052, y=571, time=1719664952.0986826)
MoveEvent(x=1053, y=572, time=1719664952.1029634)
MoveEvent(x=1056, y=573, time=1719664952.1045954)
MoveEvent(x=1057, y=576, time=1719664952.1045954)
MoveEvent(x=1058, y=577, time=1719664952.1045954)
MoveEvent(x=1061, y=578, time=1719664952.1073902)
MoveEvent(x=1063, y=581, time=1719664952.1073902)
MoveEvent(x=1066, y=583, time=1719664952.1073902)
MoveEvent(x=1067, y=584, time=1719664952.1073902)
MoveEvent(x=1070, y=585, time=1719664952.1117375)
MoveEvent(x=1073, y=588, time=1719664952.1117375)
MoveEvent(x=1075, y=591, time=1719664952.1117375)
MoveEvent(x=1077, y=591, time=1719664952.1117375)
MoveEvent(x=1079, y=595, time=1719664952.1117375)
MoveEvent(x=1082, y=596, time=1719664952.1162412)
MoveEvent(x=1085, y=597, time=1719664952.117258)
MoveEvent(x=1086, y=597, time=1719664952.117258)
MoveEvent(x=1088, y=600, time=1719664952.117258)
MoveEvent(x=1091, y=603, time=1719664952.120534)
MoveEvent(x=1094, y=604, time=1719664952.120534)
MoveEvent(x=1097, y=604, time=1719664952.120534)
MoveEvent(x=1099, y=607, time=1719664952.1230452)
MoveEvent(x=1102, y=610, time=1719664952.1245542)
MoveEvent(x=1105, y=611, time=1719664952.1257696)
MoveEvent(x=1108, y=614, time=1719664952.1257696)
MoveEvent(x=1112, y=615, time=1719664952.1257696)
MoveEvent(x=1115, y=618, time=1719664952.1257696)
MoveEvent(x=1119, y=618, time=1719664952.1290004)
MoveEvent(x=1120, y=619, time=1719664952.1290004)
MoveEvent(x=1124, y=621, time=1719664952.1290004)
MoveEvent(x=1131, y=624, time=1719664952.1290004)
MoveEvent(x=1133, y=625, time=1719664952.1332982)
MoveEvent(x=1136, y=628, time=1719664952.1332982)
MoveEvent(x=1141, y=630, time=1719664952.1332982)
MoveEvent(x=1143, y=631, time=1719664952.1332982)
MoveEvent(x=1148, y=632, time=1719664952.1375563)
MoveEvent(x=1151, y=634, time=1719664952.1389465)
MoveEvent(x=1155, y=635, time=1719664952.1389465)
MoveEvent(x=1158, y=637, time=1719664952.1389465)
MoveEvent(x=1161, y=640, time=1719664952.1415708)
MoveEvent(x=1163, y=640, time=1719664952.1430645)
MoveEvent(x=1168, y=641, time=1719664952.1430645)
MoveEvent(x=1172, y=642, time=1719664952.1430645)
MoveEvent(x=1176, y=642, time=1719664952.1430645)
MoveEvent(x=1177, y=644, time=1719664952.1460826)
MoveEvent(x=1180, y=644, time=1719664952.1460826)
MoveEvent(x=1184, y=645, time=1719664952.1460826)
MoveEvent(x=1189, y=647, time=1719664952.1460826)
MoveEvent(x=1193, y=648, time=1719664952.1501281)
MoveEvent(x=1197, y=649, time=1719664952.1501281)
MoveEvent(x=1202, y=649, time=1719664952.1526005)
MoveEvent(x=1206, y=651, time=1719664952.1526005)
MoveEvent(x=1210, y=651, time=1719664952.154612)
